Date,stock_0_food_beverages_and_tobacco_close_price,stock_10_non-banking_financial_services_close_price,stock_11_real_estate_close_price,stock_12_non-banking_financial_services_close_price,stock_13_it_&_media_close_price,stock_14_it_&_media_close_price,stock_1_energy_and_support_services_close_price,stock_2_basic_resources_close_price,stock_3_basic_resources_close_price,stock_4_banks_close_price,stock_5_banks_close_price,stock_6_real_estate_close_price,stock_7_real_estate_close_price,stock_8_real_estate_close_price,stock_9_non-banking_financial_services_close_price,stock_0_food_beverages_and_tobacco_volume,stock_10_non-banking_financial_services_volume,stock_11_real_estate_volume,stock_12_non-banking_financial_services_volume,stock_13_it_&_media_volume,stock_14_it_&_media_volume,stock_1_energy_and_support_services_volume,stock_2_basic_resources_volume,stock_3_basic_resources_volume,stock_4_banks_volume,stock_5_banks_volume,stock_6_real_estate_volume,stock_7_real_estate_volume,stock_8_real_estate_volume,stock_9_non-banking_financial_services_volume
2020-01-12,14.99,2.31,8.19,8.0,,7.85,3.5,20.53,8.7,43.5,84.03,4.76,1.658,2.9,16.27,39428.0,11102534.0,2278235.0,5000.0,,107505.0,928472.0,15600.0,4552003.0,150.0,362646.0,3158342.0,11749507.0,1855147.0,97055.0
2020-01-13,15.09,2.38,8.2,8.0,,7.85,3.45,20.6,8.67,43.37,82.99,4.74,1.624,2.82,16.03,617619.0,10216390.0,2890252.0,40000.0,,203489.0,782533.0,23538.0,4117088.0,75535.0,4403861.0,1924587.0,16875218.0,2218090.0,323715.0
2020-01-14,15.1,2.41,8.2,8.0,,7.75,3.45,20.47,8.8,44.21,83.57,4.79,1.613,2.8,16.02,750098.0,4752067.0,1831948.0,8182.0,,65738.0,252078.0,25875.0,3778155.0,4789.0,1938641.0,1278823.0,5870465.0,4814781.0,137862.0
2020-01-15,15.06,2.35,8.2,8.0,,7.68,3.44,20.44,8.74,44.42,84.01,4.88,1.612,2.84,16.06,769691.0,2297413.0,795063.0,10000.0,,9815.0,567061.0,23439.0,1361706.0,585312.0,1008350.0,2481377.0,2701544.0,1225412.0,177032.0
2020-01-16,15.03,2.32,8.27,,,7.66,3.43,20.13,8.69,44.4,84.52,4.89,1.616,2.89,16.18,1675205.0,2823983.0,526430.0,,,21618.0,155109.0,137789.0,1428961.0,71659.0,2384082.0,1160009.0,7372773.0,2436261.0,273843.0
2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-19,15.0,2.23,8.15,,,7.51,3.44,20.04,8.46,44.36,86.53,4.8,1.6,2.89,16.01,247827.0,2325546.0,681226.0,,,28326.0,678237.0,9690.0,1854398.0,2068.0,974266.0,1144591.0,6038838.0,1274404.0,410032.0
2020-01-20,15.0,2.27,7.99,,,7.44,3.34,19.96,8.17,44.31,85.69,4.72,1.564,2.81,15.92,2522853.0,2216413.0,1026828.0,,,8273.0,282218.0,19679.0,2433066.0,6913.0,890872.0,725068.0,11004837.0,1761347.0,516755.0
2020-01-21,14.82,2.32,7.9,8.0,,7.56,3.29,20.0,8.07,44.0,84.93,4.61,1.545,2.8,15.75,170480.0,1827262.0,425286.0,3700.0,,67122.0,733106.0,20045.0,2114796.0,6900.0,663288.0,1266871.0,14080279.0,655313.0,675727.0
2020-01-22,14.8,2.32,7.98,7.99,,7.8,3.36,20.15,8.22,44.0,85.83,4.69,1.577,2.82,15.74,1053137.0,831988.0,1337287.0,51934.0,,320468.0,385075.0,10063.0,1867734.0,153591.0,944058.0,2500969.0,15973046.0,354200.0,42695.0
2020-01-23,14.54,2.26,8.1,,,8.06,3.37,20.19,8.38,44.17,85.13,4.68,1.586,2.82,15.84,756286.0,482754.0,450720.0,,,650640.0,419566.0,28326.0,2496720.0,234607.0,482338.0,2184832.0,10324600.0,1041472.0,870340.0
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,14.54,2.24,8.1,7.99,,8.01,3.39,20.1,8.44,45.0,85.03,4.69,1.602,2.85,15.72,3779.0,557597.0,285152.0,1463.0,,78010.0,363463.0,22299.0,1304031.0,2000.0,309238.0,914790.0,5055680.0,892383.0,167772.0
2020-01-27,14.55,2.22,8.0,7.63,,8.01,3.32,19.89,8.25,44.4,84.91,4.64,1.582,2.81,15.61,904037.0,623429.0,345861.0,5588.0,,972.0,468737.0,13859.0,1178242.0,3267.0,977008.0,1452462.0,3203590.0,1069055.0,177275.0
2020-01-28,14.59,2.2,7.89,7.65,,8.02,3.35,19.88,8.2,44.06,84.73,4.61,1.56,2.81,15.73,1866601.0,574716.0,787670.0,15000.0,,19850.0,352781.0,4690.0,1448192.0,132471.0,687479.0,487186.0,5726263.0,1114043.0,212577.0
2020-01-29,14.75,2.25,7.97,7.65,,8.14,3.47,20.4,8.68,43.99,84.84,4.67,1.589,2.8,16.03,398029.0,1001191.0,1405752.0,10697.0,,40595.0,2034364.0,72850.0,5423501.0,280493.0,1068552.0,2430280.0,4091721.0,1809915.0,1555548.0
2020-01-30,15.01,2.26,8.07,,,8.41,3.65,21.02,9.01,43.99,85.08,4.72,1.641,2.88,16.12,1674412.0,733468.0,1706549.0,,,518407.0,4897224.0,23077.0,5026733.0,713.0,1289578.0,1902317.0,28096772.0,3011607.0,1761111.0
2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-02,14.95,2.24,8.1,7.65,,8.29,3.57,20.24,8.76,43.43,85.1,4.74,1.632,2.88,16.04,107430.0,591995.0,1440920.0,906.0,,44845.0,1160986.0,25638.0,2526006.0,1413.0,350980.0,6022321.0,22585779.0,8665726.0,486186.0
2020-02-03,14.77,2.21,8.09,,,8.07,3.64,20.34,8.69,43.28,85.78,4.72,1.613,2.88,16.09,2292706.0,622992.0,902677.0,,,69672.0,2647698.0,47103.0,1886896.0,2880.0,1509800.0,917827.0,5433396.0,934449.0,108953.0
2020-02-04,14.79,2.22,8.03,7.65,,8.39,3.58,20.3,8.71,43.68,86.17,4.73,1.618,2.88,16.09,2232074.0,1035971.0,2704874.0,60.0,,1457253.0,826880.0,105326.0,1204352.0,105800.0,1309969.0,2064956.0,3767564.0,973027.0,321075.0
2020-02-05,15.22,2.2,8.1,7.65,,8.43,3.57,20.03,8.8,43.72,86.41,4.69,1.613,2.91,16.28,1183555.0,511628.0,925221.0,3022.0,,22500.0,640298.0,104589.0,2376308.0,31040.0,1238263.0,913004.0,19054932.0,9684297.0,690194.0
2020-02-06,15.76,2.21,8.11,7.49,,8.5,3.58,20.31,9.02,43.71,86.91,4.7,1.632,2.97,16.65,2747811.0,524774.0,1676026.0,13504.0,,110500.0,1233319.0,21710.0,3960229.0,35018.0,1185353.0,2655831.0,6783064.0,2383526.0,2537984.0
2020-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-09,15.75,2.24,8.17,,,8.56,3.58,20.08,9.12,43.51,86.76,4.73,1.634,3.04,16.82,775887.0,855582.0,1002771.0,,,9925.0,790573.0,91232.0,4011912.0,6767.0,340779.0,1887969.0,3329757.0,2835412.0,503002.0
2020-02-10,15.39,2.24,8.1,7.49,,8.47,3.48,19.99,8.85,43.49,86.23,4.67,1.608,3.04,16.6,176785.0,811507.0,354735.0,4061.0,,100040.0,645997.0,26804.0,3500496.0,42928.0,1682609.0,782110.0,4336584.0,2092743.0,112746.0
2020-02-11,15.69,2.2,8.09,,,8.47,3.45,19.89,8.99,43.5,86.27,4.72,1.615,3.03,16.84,1342590.0,450680.0,457109.0,,,410.0,1207148.0,4072.0,2515640.0,7150.0,1271092.0,1655004.0,3623700.0,733386.0,782051.0
2020-02-12,15.51,2.17,7.97,7.49,,8.6,3.36,19.63,8.85,43.13,85.14,4.69,1.589,2.96,16.8,1338250.0,394555.0,800736.0,13.0,,1080126.0,1244054.0,7941.0,2182450.0,28149.0,707422.0,537683.0,4068404.0,1082614.0,717547.0
2020-02-13,15.52,2.14,7.98,7.49,,8.6,3.34,19.39,8.78,43.0,85.46,4.79,1.577,2.99,16.62,675006.0,577195.0,372729.0,20.0,,243005.0,784131.0,36250.0,1878257.0,17790.0,672299.0,3887187.0,8240409.0,982919.0,791937.0
2020-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-16,15.39,2.06,7.86,7.2,,8.49,3.23,19.01,8.45,43.0,85.48,4.67,1.556,2.91,16.46,22574.0,548105.0,464889.0,10881.0,,7206.0,1064174.0,31935.0,2171416.0,2800.0,216600.0,1490256.0,8073767.0,318735.0,40913.0
2020-02-17,15.39,2.12,7.98,,,8.6,3.3,19.02,8.52,43.0,86.0,4.66,1.549,2.92,16.44,434420.0,394592.0,729413.0,,,320350.0,424272.0,33925.0,1350053.0,5155.0,2267504.0,697069.0,6065505.0,641576.0,129823.0
2020-02-18,15.4,2.02,7.7,,,8.89,3.2,18.98,8.24,43.0,85.33,4.53,1.504,2.88,16.4,1932474.0,821770.0,2517676.0,,,875864.0,759973.0,71062.0,1853995.0,3310877.0,723198.0,1047475.0,11212541.0,2457127.0,205289.0
2020-02-19,15.55,2.0,7.63,7.2,,9.1,3.21,18.99,8.28,43.0,85.97,4.51,1.489,2.9,16.23,6553026.0,1888181.0,2947216.0,3000.0,,303160.0,368451.0,86565.0,1873489.0,465154.0,2046837.0,420918.0,4301284.0,144485.0,521010.0
2020-02-20,15.55,2.03,7.66,7.2,,9.19,3.22,18.81,8.42,44.0,86.02,4.53,1.492,2.89,16.36,2682459.0,2154564.0,2104685.0,687.0,,1082144.0,227539.0,124583.0,1304515.0,844230.0,2050992.0,497502.0,11546859.0,99667.0,369072.0
2020-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-23,15.33,2.05,7.79,,,9.2,3.19,19.0,8.39,43.1,85.97,4.52,1.49,2.88,16.56,24893.0,684552.0,597913.0,,,306478.0,468370.0,20520.0,1136065.0,62521.0,721988.0,604211.0,6873941.0,310238.0,85010.0
2020-02-24,15.02,1.91,7.56,,,9.02,3.07,18.09,8.02,43.0,85.18,4.35,1.412,2.87,16.15,248880.0,1034203.0,3759746.0,,,21470.0,1256923.0,37797.0,2281448.0,347983.0,1249290.0,1865772.0,17992469.0,1948633.0,729147.0
2020-02-25,14.76,1.88,7.55,,,8.98,3.11,17.75,8.07,42.64,84.0,4.45,1.426,2.84,15.7,2628060.0,706940.0,1981215.0,,,13000.0,1139294.0,18949.0,2201508.0,766664.0,1512926.0,488616.0,10676685.0,39439.0,1119179.0
2020-02-26,14.52,1.88,7.53,7.2,,8.9,3.03,17.22,8.08,42.0,83.4,4.37,1.424,2.79,15.19,760081.0,493901.0,1025807.0,285.0,,960443.0,2572620.0,127143.0,1477939.0,1266.0,1216765.0,600167.0,8481431.0,1674268.0,1188319.0
2020-02-27,14.34,1.82,7.52,7.21,,8.79,2.94,16.73,7.98,42.0,82.56,4.26,1.409,2.67,14.51,1971551.0,732471.0,7716616.0,26770.0,,1320159.0,1720820.0,136040.0,1393534.0,617220.0,2305929.0,9791749.0,17821768.0,2715648.0,1574119.0
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,13.43,1.603,6.94,7.21,,8.23,2.67,15.4,7.0,40.0,78.18,3.96,1.276,2.54,13.2,27684.0,1102991.0,2207268.0,10.0,,184003.0,1486674.0,48563.0,2553856.0,872415.0,1236062.0,4598652.0,17064797.0,4584624.0,1318584.0
2020-03-02,13.27,1.559,6.97,7.21,,8.24,2.59,15.38,6.88,40.99,78.22,3.97,1.31,2.52,13.27,1366044.0,2271467.0,1674877.0,1000.0,,247047.0,1741613.0,54339.0,4586420.0,542284.0,3674559.0,2661563.0,17900765.0,4286986.0,1316262.0
2020-03-03,13.51,1.623,7.0,,,8.5,2.64,16.06,6.96,43.91,78.38,3.97,1.38,2.61,13.69,2963691.0,1258775.0,997913.0,,,317731.0,959679.0,500758.0,2462403.0,11197.0,1928046.0,2060569.0,11363191.0,3582443.0,354219.0
2020-03-04,13.52,1.641,6.93,7.21,,8.5,2.57,16.22,6.94,42.23,76.04,3.84,1.368,2.71,13.42,453346.0,797933.0,371096.0,500.0,,133070.0,2228408.0,221725.0,2135832.0,3550.0,1040924.0,4529434.0,13620528.0,1116256.0,2047503.0
2020-03-05,13.87,1.673,7.05,7.21,,8.5,2.65,16.93,7.06,42.5,77.02,3.96,1.413,2.75,13.48,4189172.0,766676.0,973157.0,400.0,,6500.0,1039357.0,685627.0,1679567.0,749034.0,1248883.0,18245810.0,9240807.0,1243133.0,537936.0
2020-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,13.57,1.561,6.8,,,8.28,2.44,16.06,6.61,41.52,73.45,3.89,1.338,2.63,12.39,79086.0,403167.0,502355.0,,,12200.0,745286.0,63736.0,1591428.0,46035.0,788956.0,4889705.0,11257311.0,861087.0,1098632.0
2020-03-09,12.44,1.458,6.2,,,8.13,2.23,14.95,6.17,40.0,68.07,3.63,1.246,2.54,11.27,1532966.0,922202.0,5019673.0,,,195455.0,1689670.0,461806.0,3356681.0,220390.0,3689823.0,7975567.0,24006247.0,2133347.0,2017059.0
2020-03-10,12.55,1.46,6.32,,,8.11,2.23,15.0,6.26,38.56,70.21,3.65,1.266,2.64,11.06,828996.0,612469.0,7270350.0,,,265354.0,1858866.0,137696.0,3097425.0,1559070.0,1689120.0,4868955.0,12671364.0,6428468.0,2724219.0
2020-03-11,12.76,1.451,6.28,7.21,,8.22,2.18,15.05,6.38,38.03,70.08,3.74,1.271,2.66,11.0,651035.0,473568.0,2278572.0,1000.0,,2059616.0,2893418.0,90670.0,1885112.0,96380.0,3315729.0,6850955.0,15030874.0,984102.0,1973317.0
2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,11.53,1.311,5.89,,,7.56,1.9,13.61,5.55,34.88,63.13,3.42,1.163,2.45,9.91,963733.0,853700.0,3503926.0,,,1070868.0,2335434.0,57280.0,2757827.0,7273.0,8804778.0,4533284.0,22295348.0,1289691.0,1391972.0
2020-03-16,10.41,1.182,5.38,,,7.2,1.75,12.88,5.13,34.88,58.9,3.13,1.061,2.35,8.92,1667028.0,524917.0,2420273.0,,,1539747.0,2396915.0,76725.0,4345838.0,329.0,2566673.0,5630909.0,11768849.0,1661091.0,2645406.0
2020-03-17,10.5,1.067,4.91,7.21,,7.01,1.64,12.35,4.82,35.16,59.45,2.89,0.967,2.36,8.03,4072050.0,730137.0,2562156.0,1000.0,,38021.0,1347192.0,72829.0,4468891.0,40669.0,2308068.0,4592617.0,24364409.0,3461674.0,1510646.0
2020-03-18,10.18,0.966,4.47,,,7.0,1.56,11.99,4.44,,56.84,2.64,0.879,2.22,7.26,1859115.0,294701.0,907004.0,,,380360.0,1944737.0,96129.0,5181712.0,,3110770.0,8926878.0,20135541.0,2438675.0,1729002.0
2020-03-19,10.39,0.937,4.87,7.21,,7.0,1.62,12.36,4.72,32.02,61.03,2.78,0.873,2.35,7.65,4522084.0,1359660.0,7031444.0,4000.0,,2807772.0,2004237.0,92148.0,3820136.0,1301296.0,6521102.0,12399210.0,35472548.0,5848872.0,9766931.0
2020-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,11.41,0.988,5.31,7.21,,7.05,1.744,13.55,5.06,32.0,64.74,2.83,0.933,2.49,8.03,374215.0,650679.0,3845071.0,250.0,,777890.0,1619666.0,323504.0,3095660.0,246029.0,3776912.0,12863005.0,13443749.0,1335141.0,3587120.0
2020-03-23,12.08,1.021,5.67,7.21,,7.45,1.928,14.61,5.38,33.22,65.0,2.9,1.011,2.62,8.45,4116464.0,1863648.0,5483492.0,1150.0,,153244.0,2248429.0,561837.0,4553462.0,299470.0,5962346.0,21086183.0,15273066.0,3009465.0,4950265.0
2020-03-24,11.87,1.032,5.41,6.49,,7.77,1.96,14.47,5.26,32.97,62.77,2.84,1.019,2.61,8.21,5742250.0,737549.0,4540560.0,7900.0,,21185.0,1639887.0,339581.0,2643160.0,36719.0,3427832.0,10134983.0,14194873.0,2334620.0,3082126.0
2020-03-25,12.43,1.067,5.36,6.49,,7.81,2.085,15.12,5.45,32.0,62.61,2.96,1.036,2.66,8.22,1297802.0,591389.0,6448830.0,3000.0,,9335.0,2361831.0,474752.0,1958477.0,1037998.0,2147627.0,7032883.0,9192049.0,2156350.0,3061144.0
2020-03-26,12.27,1.117,5.38,6.49,,8.01,2.151,15.89,5.53,32.0,62.54,3.03,1.048,2.66,8.31,1959282.0,870758.0,3703264.0,4090.0,,1830334.0,1522932.0,330765.0,1422339.0,35450.0,2987183.0,5131034.0,10357530.0,1282500.0,2797123.0
2020-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29,12.26,1.113,5.27,7.1,,8.64,2.11,16.34,5.45,32.0,61.05,3.04,1.047,2.68,8.25,1125911.0,632269.0,5202588.0,4670.0,,56905.0,968385.0,39334.0,1422923.0,165279.0,1129118.0,3655908.0,7593794.0,1176606.0,2185929.0
2020-03-30,12.26,1.17,5.0,7.1,,8.66,2.07,15.44,5.3,29.57,59.13,3.02,1.038,2.59,8.02,4659402.0,1261089.0,3961860.0,4070.0,,60560.0,750101.0,17051.0,1542153.0,68299.0,3004504.0,4097902.0,5748963.0,1319109.0,1901329.0
2020-03-31,12.35,1.283,4.99,7.0,,8.83,2.16,15.96,5.47,29.51,58.77,3.11,1.072,2.6,8.29,11349989.0,1729693.0,5357111.0,11000.0,,552285.0,1300823.0,33464.0,1926263.0,265579.0,3836235.0,3748886.0,9910753.0,3288593.0,2495558.0
2020-04-01,12.24,1.295,4.86,7.0,,8.93,2.11,15.38,5.4,29.83,57.72,3.11,1.051,2.55,8.42,9987948.0,1878646.0,4782180.0,24630.0,,29720.0,1291744.0,8736.0,2256002.0,24814.0,1870995.0,5000881.0,6370478.0,1611799.0,2123043.0
2020-04-02,12.25,1.255,4.87,7.0,,8.82,2.14,15.61,5.46,29.5,57.3,3.18,1.06,2.58,8.8,1586144.0,665437.0,7650070.0,68000.0,,226787.0,1549977.0,30611.0,3577196.0,510043.0,5265710.0,3131744.0,9630387.0,2772797.0,3214136.0
2020-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-05,12.17,1.199,4.65,7.5,,8.72,2.06,15.25,5.26,30.12,56.06,3.15,1.036,2.51,8.65,28277.0,664094.0,2842084.0,12455.0,,55241.0,1829783.0,2000.0,1375365.0,7329.0,1528357.0,2600335.0,3225010.0,2077033.0,1200803.0
2020-04-06,12.28,1.283,4.84,7.09,,8.87,2.17,15.02,5.37,29.81,57.0,3.17,1.057,2.59,9.21,368733.0,1230710.0,6487144.0,97700.0,,1049856.0,3356404.0,135423.0,1383999.0,93290.0,4819408.0,8827098.0,6961894.0,1570626.0,3844693.0
2020-04-07,12.47,1.359,5.14,6.67,,8.99,2.31,15.56,5.71,29.11,59.99,2.93,1.115,2.7,10.04,2019800.0,2120550.0,13313508.0,145100.0,,52627.0,3067046.0,368477.0,8680136.0,510861.0,4303992.0,13644621.0,50540593.0,8586538.0,5403094.0
2020-04-08,12.57,1.384,5.15,6.51,,8.9,2.37,15.13,5.94,28.53,62.39,2.93,1.149,2.71,10.94,1295061.0,2224960.0,9374435.0,20175.0,,47589.0,2680873.0,1017723.0,4941453.0,419491.0,3130728.0,7931181.0,30457021.0,7316857.0,8361227.0
2020-04-09,12.59,1.333,5.2,6.51,,9.0,2.34,15.25,5.83,28.94,65.51,2.85,1.163,2.72,11.33,543713.0,1413215.0,8610818.0,31350.0,,750758.0,1099177.0,87569.0,3579857.0,854149.0,3165187.0,8252011.0,33205902.0,3292618.0,5017412.0
2020-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-12,12.59,1.285,5.13,6.59,,9.0,2.27,15.03,5.78,29.97,64.81,2.8,1.122,2.62,10.9,7500.0,1902759.0,4031295.0,18379.0,,204357.0,1779360.0,20159.0,1732670.0,328300.0,988925.0,5311990.0,28127576.0,2719719.0,1308229.0
2020-04-13,12.57,1.341,5.21,6.66,,9.33,2.32,15.39,5.87,29.97,65.15,2.87,1.15,2.68,11.3,118176.0,809216.0,11672468.0,30420.0,,121331.0,2216966.0,149022.0,2435650.0,216178.0,1174099.0,12928631.0,22467196.0,2644486.0,2564445.0
2020-04-14,12.79,1.359,5.38,6.89,,9.51,2.4,16.31,6.14,30.2,65.15,2.91,1.19,2.74,11.34,424441.0,1332577.0,5504026.0,35090.0,,508962.0,3646362.0,537352.0,6979427.0,520189.0,10648130.0,7352471.0,31107240.0,6017212.0,1581483.0
2020-04-15,12.48,1.393,5.29,6.7,,9.49,2.37,16.04,6.18,31.01,64.21,2.87,1.168,2.73,11.17,4670016.0,1609944.0,3175604.0,8050.0,,217476.0,2172802.0,92640.0,3856856.0,86272.0,4548481.0,5755287.0,16418576.0,4619944.0,2017978.0
2020-04-16,12.49,1.361,5.21,7.0,,9.58,2.36,16.04,6.24,31.31,61.8,2.85,1.166,2.67,11.1,376059.0,910853.0,1682990.0,16550.0,,75501.0,1454122.0,199322.0,2786878.0,96482.0,5440582.0,2501254.0,6718854.0,1297609.0,2113253.0
2020-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-21,12.27,1.37,5.18,6.99,,9.7,2.26,15.49,6.07,30.94,59.47,2.8,1.151,2.63,10.88,1099168.0,1700692.0,2371309.0,9000.0,,188682.0,1623385.0,74898.0,3915206.0,75717.0,4742977.0,4293114.0,6038333.0,1152789.0,1521274.0
2020-04-22,11.95,1.453,5.16,6.99,,10.19,2.25,15.33,6.2,30.77,58.77,2.8,1.135,2.59,10.87,7010379.0,2193202.0,1706047.0,2900.0,,388688.0,2251149.0,437851.0,4587156.0,110659.0,16835592.0,4277743.0,18940826.0,4328301.0,1808562.0
2020-04-23,12.0,1.598,5.28,6.98,,10.34,2.34,15.76,6.56,30.75,61.02,2.87,1.175,2.66,11.29,267906.0,163367.0,6732070.0,19377.0,,188233.0,1537224.0,443674.0,6307473.0,135669.0,4885816.0,4797465.0,9048287.0,4888191.0,1592212.0
2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-26,12.06,1.757,5.5,6.99,,10.36,2.43,15.99,7.04,30.98,62.4,2.95,1.236,2.7,11.52,417482.0,110884.0,7216887.0,55570.0,,148296.0,2337605.0,156170.0,4994414.0,315834.0,2452819.0,9135008.0,24141698.0,16774970.0,1520583.0
2020-04-27,12.11,1.921,5.62,6.83,,10.25,2.37,16.02,6.98,31.02,61.93,3.05,1.248,2.67,11.45,82621.0,8547747.0,7589139.0,6585.0,,152965.0,1576759.0,298401.0,3847446.0,347531.0,3199523.0,17149679.0,45042073.0,4199474.0,1222237.0
2020-04-28,12.1,2.012,5.76,6.76,,10.25,2.41,16.26,7.24,27.87,61.64,3.17,1.306,2.7,11.64,991423.0,8948973.0,2727366.0,4601.0,,132905.0,1703254.0,663622.0,5207562.0,410653.0,4189844.0,8342525.0,27719812.0,6964166.0,1346422.0
2020-04-29,12.18,1.912,5.68,6.88,,10.26,2.49,15.85,7.38,27.84,63.61,3.1,1.292,2.67,11.25,1428960.0,3820676.0,2963071.0,7399.0,,47354.0,7625575.0,830245.0,5463594.0,568910.0,3902502.0,11135652.0,21480242.0,2829739.0,2260747.0
2020-04-30,12.12,2.081,5.68,6.92,,10.26,2.61,15.6,7.31,27.97,63.95,3.07,1.293,2.64,11.27,1171446.0,10586342.0,2415204.0,7357.0,,64155.0,8833198.0,528503.0,2364918.0,540707.0,5054238.0,5402620.0,12514038.0,1162176.0,2047695.0
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
