Date,Headline (y/y),Core (y/y),Regulated Items (y/y),Fruits and Vegetables (y/y)
2020-02-22,5.319,1.916,10.871,-1.083
2020-02-23,5.319,1.916,10.871,-1.083
2020-02-24,5.319,1.916,10.871,-1.083
2020-02-25,5.319,1.916,10.871,-1.083
2020-02-26,5.319,1.916,10.871,-1.083
2020-02-27,5.319,1.916,10.871,-1.083
2020-02-28,5.319,1.916,10.871,-1.083
2020-02-29,5.319,1.916,10.871,-1.083
2020-03-01,5.092,1.887,12.239,-4.127
2020-03-02,5.092,1.887,12.239,-4.127
2020-03-03,5.092,1.887,12.239,-4.127
2020-03-04,5.092,1.887,12.239,-4.127
2020-03-05,5.092,1.887,12.239,-4.127
2020-03-06,5.092,1.887,12.239,-4.127
2020-03-07,5.092,1.887,12.239,-4.127
2020-03-08,5.092,1.887,12.239,-4.127
2020-03-09,5.092,1.887,12.239,-4.127
2020-03-10,5.092,1.887,12.239,-4.127
2020-03-11,5.092,1.887,12.239,-4.127
2020-03-12,5.092,1.887,12.239,-4.127
2020-03-13,5.092,1.887,12.239,-4.127
2020-03-14,5.092,1.887,12.239,-4.127
2020-03-15,5.092,1.887,12.239,-4.127
2020-03-16,5.092,1.887,12.239,-4.127
2020-03-17,5.092,1.887,12.239,-4.127
2020-03-18,5.092,1.887,12.239,-4.127
2020-03-19,5.092,1.887,12.239,-4.127
2020-03-20,5.092,1.887,12.239,-4.127
2020-03-21,5.092,1.887,12.239,-4.127
2020-03-22,5.092,1.887,12.239,-4.127
2020-03-23,5.092,1.887,12.239,-4.127
2020-03-24,5.092,1.887,12.239,-4.127
2020-03-25,5.092,1.887,12.239,-4.127
2020-03-26,5.092,1.887,12.239,-4.127
2020-03-27,5.092,1.887,12.239,-4.127
2020-03-28,5.092,1.887,12.239,-4.127
2020-03-29,5.092,1.887,12.239,-4.127
2020-03-30,5.092,1.887,12.239,-4.127
2020-03-31,5.092,1.887,12.239,-4.127
2020-04-01,5.881,2.541,12.112,4.548
2020-04-02,5.881,2.541,12.112,4.548
2020-04-03,5.881,2.541,12.112,4.548
2020-04-04,5.881,2.541,12.112,4.548
2020-04-05,5.881,2.541,12.112,4.548
2020-04-06,5.881,2.541,12.112,4.548
2020-04-07,5.881,2.541,12.112,4.548
2020-04-08,5.881,2.541,12.112,4.548
2020-04-09,5.881,2.541,12.112,4.548
2020-04-10,5.881,2.541,12.112,4.548
2020-04-11,5.881,2.541,12.112,4.548
2020-04-12,5.881,2.541,12.112,4.548
2020-04-13,5.881,2.541,12.112,4.548
2020-04-14,5.881,2.541,12.112,4.548
2020-04-15,5.881,2.541,12.112,4.548
2020-04-16,5.881,2.541,12.112,4.548
2020-04-17,5.881,2.541,12.112,4.548
2020-04-18,5.881,2.541,12.112,4.548
2020-04-19,5.881,2.541,12.112,4.548
2020-04-20,5.881,2.541,12.112,4.548
2020-04-21,5.881,2.541,12.112,4.548
2020-04-22,5.881,2.541,12.112,4.548
2020-04-23,5.881,2.541,12.112,4.548
2020-04-24,5.881,2.541,12.112,4.548
2020-04-25,5.881,2.541,12.112,4.548
2020-04-26,5.881,2.541,12.112,4.548
2020-04-27,5.881,2.541,12.112,4.548
2020-04-28,5.881,2.541,12.112,4.548
2020-04-29,5.881,2.541,12.112,4.548
2020-04-30,5.881,2.541,12.112,4.548
2020-05-01,4.696,1.542,11.641,-0.965
2020-05-02,4.696,1.542,11.641,-0.965
2020-05-03,4.696,1.542,11.641,-0.965
2020-05-04,4.696,1.542,11.641,-0.965
2020-05-05,4.696,1.542,11.641,-0.965
2020-05-06,4.696,1.542,11.641,-0.965
2020-05-07,4.696,1.542,11.641,-0.965
2020-05-08,4.696,1.542,11.641,-0.965
2020-05-09,4.696,1.542,11.641,-0.965
2020-05-10,4.696,1.542,11.641,-0.965
2020-05-11,4.696,1.542,11.641,-0.965
2020-05-12,4.696,1.542,11.641,-0.965
2020-05-13,4.696,1.542,11.641,-0.965
2020-05-14,4.696,1.542,11.641,-0.965
2020-05-15,4.696,1.542,11.641,-0.965
2020-05-16,4.696,1.542,11.641,-0.965
2020-05-17,4.696,1.542,11.641,-0.965
2020-05-18,4.696,1.542,11.641,-0.965
2020-05-19,4.696,1.542,11.641,-0.965
2020-05-20,4.696,1.542,11.641,-0.965
2020-05-21,4.696,1.542,11.641,-0.965
2020-05-22,4.696,1.542,11.641,-0.965
2020-05-23,4.696,1.542,11.641,-0.965
2020-05-24,4.696,1.542,11.641,-0.965
2020-05-25,4.696,1.542,11.641,-0.965
2020-05-26,4.696,1.542,11.641,-0.965
2020-05-27,4.696,1.542,11.641,-0.965
2020-05-28,4.696,1.542,11.641,-0.965
2020-05-29,4.696,1.542,11.641,-0.965
2020-05-30,4.696,1.542,11.641,-0.965
2020-05-31,4.696,1.542,11.641,-0.965
2020-06-01,5.631,0.954,12.378,8.38
2020-06-02,5.631,0.954,12.378,8.38
2020-06-03,5.631,0.954,12.378,8.38
2020-06-04,5.631,0.954,12.378,8.38
2020-06-05,5.631,0.954,12.378,8.38
2020-06-06,5.631,0.954,12.378,8.38
2020-06-07,5.631,0.954,12.378,8.38
2020-06-08,5.631,0.954,12.378,8.38
2020-06-09,5.631,0.954,12.378,8.38
2020-06-10,5.631,0.954,12.378,8.38
2020-06-11,5.631,0.954,12.378,8.38
2020-06-12,5.631,0.954,12.378,8.38
2020-06-13,5.631,0.954,12.378,8.38
2020-06-14,5.631,0.954,12.378,8.38
2020-06-15,5.631,0.954,12.378,8.38
2020-06-16,5.631,0.954,12.378,8.38
2020-06-17,5.631,0.954,12.378,8.38
2020-06-18,5.631,0.954,12.378,8.38
2020-06-19,5.631,0.954,12.378,8.38
2020-06-20,5.631,0.954,12.378,8.38
2020-06-21,5.631,0.954,12.378,8.38
2020-06-22,5.631,0.954,12.378,8.38
2020-06-23,5.631,0.954,12.378,8.38
2020-06-24,5.631,0.954,12.378,8.38
2020-06-25,5.631,0.954,12.378,8.38
2020-06-26,5.631,0.954,12.378,8.38
2020-06-27,5.631,0.954,12.378,8.38
2020-06-28,5.631,0.954,12.378,8.38
2020-06-29,5.631,0.954,12.378,8.38
2020-06-30,5.631,0.954,12.378,8.38
2020-07-01,4.203,0.722,8.62,2.456
2020-07-02,4.203,0.722,8.62,2.456
2020-07-03,4.203,0.722,8.62,2.456
2020-07-04,4.203,0.722,8.62,2.456
2020-07-05,4.203,0.722,8.62,2.456
2020-07-06,4.203,0.722,8.62,2.456
2020-07-07,4.203,0.722,8.62,2.456
2020-07-08,4.203,0.722,8.62,2.456
2020-07-09,4.203,0.722,8.62,2.456
2020-07-10,4.203,0.722,8.62,2.456
2020-07-11,4.203,0.722,8.62,2.456
2020-07-12,4.203,0.722,8.62,2.456
2020-07-13,4.203,0.722,8.62,2.456
2020-07-14,4.203,0.722,8.62,2.456
2020-07-15,4.203,0.722,8.62,2.456
2020-07-16,4.203,0.722,8.62,2.456
2020-07-17,4.203,0.722,8.62,2.456
2020-07-18,4.203,0.722,8.62,2.456
2020-07-19,4.203,0.722,8.62,2.456
2020-07-20,4.203,0.722,8.62,2.456
2020-07-21,4.203,0.722,8.62,2.456
2020-07-22,4.203,0.722,8.62,2.456
2020-07-23,4.203,0.722,8.62,2.456
2020-07-24,4.203,0.722,8.62,2.456
2020-07-25,4.203,0.722,8.62,2.456
2020-07-26,4.203,0.722,8.62,2.456
2020-07-27,4.203,0.722,8.62,2.456
2020-07-28,4.203,0.722,8.62,2.456
2020-07-29,4.203,0.722,8.62,2.456
2020-07-30,4.203,0.722,8.62,2.456
2020-07-31,4.203,0.722,8.62,2.456
2020-08-01,3.366,0.836,9.039,-5.636
2020-08-02,3.366,0.836,9.039,-5.636
2020-08-03,3.366,0.836,9.039,-5.636
2020-08-04,3.366,0.836,9.039,-5.636
2020-08-05,3.366,0.836,9.039,-5.636
2020-08-06,3.366,0.836,9.039,-5.636
2020-08-07,3.366,0.836,9.039,-5.636
2020-08-08,3.366,0.836,9.039,-5.636
2020-08-09,3.366,0.836,9.039,-5.636
2020-08-10,3.366,0.836,9.039,-5.636
2020-08-11,3.366,0.836,9.039,-5.636
2020-08-12,3.366,0.836,9.039,-5.636
2020-08-13,3.366,0.836,9.039,-5.636
2020-08-14,3.366,0.836,9.039,-5.636
2020-08-15,3.366,0.836,9.039,-5.636
2020-08-16,3.366,0.836,9.039,-5.636
2020-08-17,3.366,0.836,9.039,-5.636
2020-08-18,3.366,0.836,9.039,-5.636
2020-08-19,3.366,0.836,9.039,-5.636
2020-08-20,3.366,0.836,9.039,-5.636
2020-08-21,3.366,0.836,9.039,-5.636
2020-08-22,3.366,0.836,9.039,-5.636
2020-08-23,3.366,0.836,9.039,-5.636
2020-08-24,3.366,0.836,9.039,-5.636
2020-08-25,3.366,0.836,9.039,-5.636
2020-08-26,3.366,0.836,9.039,-5.636
2020-08-27,3.366,0.836,9.039,-5.636
2020-08-28,3.366,0.836,9.039,-5.636
2020-08-29,3.366,0.836,9.039,-5.636
2020-08-30,3.366,0.836,9.039,-5.636
2020-08-31,3.366,0.836,9.039,-5.636
2020-09-01,3.694,3.264,7.386,-5.808
2020-09-02,3.694,3.264,7.386,-5.808
2020-09-03,3.694,3.264,7.386,-5.808
2020-09-04,3.694,3.264,7.386,-5.808
2020-09-05,3.694,3.264,7.386,-5.808
2020-09-06,3.694,3.264,7.386,-5.808
2020-09-07,3.694,3.264,7.386,-5.808
2020-09-08,3.694,3.264,7.386,-5.808
2020-09-09,3.694,3.264,7.386,-5.808
2020-09-10,3.694,3.264,7.386,-5.808
2020-09-11,3.694,3.264,7.386,-5.808
2020-09-12,3.694,3.264,7.386,-5.808
2020-09-13,3.694,3.264,7.386,-5.808
2020-09-14,3.694,3.264,7.386,-5.808
2020-09-15,3.694,3.264,7.386,-5.808
2020-09-16,3.694,3.264,7.386,-5.808
2020-09-17,3.694,3.264,7.386,-5.808
2020-09-18,3.694,3.264,7.386,-5.808
2020-09-19,3.694,3.264,7.386,-5.808
2020-09-20,3.694,3.264,7.386,-5.808
2020-09-21,3.694,3.264,7.386,-5.808
2020-09-22,3.694,3.264,7.386,-5.808
2020-09-23,3.694,3.264,7.386,-5.808
2020-09-24,3.694,3.264,7.386,-5.808
2020-09-25,3.694,3.264,7.386,-5.808
2020-09-26,3.694,3.264,7.386,-5.808
2020-09-27,3.694,3.264,7.386,-5.808
2020-09-28,3.694,3.264,7.386,-5.808
2020-09-29,3.694,3.264,7.386,-5.808
2020-09-30,3.694,3.264,7.386,-5.808
2020-10-01,4.52,3.889,7.998,-2.02
2020-10-02,4.52,3.889,7.998,-2.02
2020-10-03,4.52,3.889,7.998,-2.02
2020-10-04,4.52,3.889,7.998,-2.02
2020-10-05,4.52,3.889,7.998,-2.02
2020-10-06,4.52,3.889,7.998,-2.02
2020-10-07,4.52,3.889,7.998,-2.02
2020-10-08,4.52,3.889,7.998,-2.02
2020-10-09,4.52,3.889,7.998,-2.02
2020-10-10,4.52,3.889,7.998,-2.02
2020-10-11,4.52,3.889,7.998,-2.02
2020-10-12,4.52,3.889,7.998,-2.02
2020-10-13,4.52,3.889,7.998,-2.02
2020-10-14,4.52,3.889,7.998,-2.02
2020-10-15,4.52,3.889,7.998,-2.02
2020-10-16,4.52,3.889,7.998,-2.02
2020-10-17,4.52,3.889,7.998,-2.02
2020-10-18,4.52,3.889,7.998,-2.02
2020-10-19,4.52,3.889,7.998,-2.02
2020-10-20,4.52,3.889,7.998,-2.02
2020-10-21,4.52,3.889,7.998,-2.02
2020-10-22,4.52,3.889,7.998,-2.02
2020-10-23,4.52,3.889,7.998,-2.02
2020-10-24,4.52,3.889,7.998,-2.02
2020-10-25,4.52,3.889,7.998,-2.02
2020-10-26,4.52,3.889,7.998,-2.02
2020-10-27,4.52,3.889,7.998,-2.02
2020-10-28,4.52,3.889,7.998,-2.02
2020-10-29,4.52,3.889,7.998,-2.02
2020-10-30,4.52,3.889,7.998,-2.02
2020-10-31,4.52,3.889,7.998,-2.02
2020-11-01,5.696,4.021,7.877,19.487
2020-11-02,5.696,4.021,7.877,19.487
2020-11-03,5.696,4.021,7.877,19.487
2020-11-04,5.696,4.021,7.877,19.487
2020-11-05,5.696,4.021,7.877,19.487
2020-11-06,5.696,4.021,7.877,19.487
2020-11-07,5.696,4.021,7.877,19.487
2020-11-08,5.696,4.021,7.877,19.487
2020-11-09,5.696,4.021,7.877,19.487
2020-11-10,5.696,4.021,7.877,19.487
2020-11-11,5.696,4.021,7.877,19.487
2020-11-12,5.696,4.021,7.877,19.487
2020-11-13,5.696,4.021,7.877,19.487
2020-11-14,5.696,4.021,7.877,19.487
2020-11-15,5.696,4.021,7.877,19.487
2020-11-16,5.696,4.021,7.877,19.487
2020-11-17,5.696,4.021,7.877,19.487
2020-11-18,5.696,4.021,7.877,19.487
2020-11-19,5.696,4.021,7.877,19.487
2020-11-20,5.696,4.021,7.877,19.487
2020-11-21,5.696,4.021,7.877,19.487
2020-11-22,5.696,4.021,7.877,19.487
2020-11-23,5.696,4.021,7.877,19.487
2020-11-24,5.696,4.021,7.877,19.487
2020-11-25,5.696,4.021,7.877,19.487
2020-11-26,5.696,4.021,7.877,19.487
2020-11-27,5.696,4.021,7.877,19.487
2020-11-28,5.696,4.021,7.877,19.487
2020-11-29,5.696,4.021,7.877,19.487
2020-11-30,5.696,4.021,7.877,19.487
2020-12-01,5.428,3.803,9.459,10.417
2020-12-02,5.428,3.803,9.459,10.417
2020-12-03,5.428,3.803,9.459,10.417
2020-12-04,5.428,3.803,9.459,10.417
2020-12-05,5.428,3.803,9.459,10.417
2020-12-06,5.428,3.803,9.459,10.417
2020-12-07,5.428,3.803,9.459,10.417
2020-12-08,5.428,3.803,9.459,10.417
2020-12-09,5.428,3.803,9.459,10.417
2020-12-10,5.428,3.803,9.459,10.417
2020-12-11,5.428,3.803,9.459,10.417
2020-12-12,5.428,3.803,9.459,10.417
2020-12-13,5.428,3.803,9.459,10.417
2020-12-14,5.428,3.803,9.459,10.417
2020-12-15,5.428,3.803,9.459,10.417
2020-12-16,5.428,3.803,9.459,10.417
2020-12-17,5.428,3.803,9.459,10.417
2020-12-18,5.428,3.803,9.459,10.417
2020-12-19,5.428,3.803,9.459,10.417
2020-12-20,5.428,3.803,9.459,10.417
2020-12-21,5.428,3.803,9.459,10.417
2020-12-22,5.428,3.803,9.459,10.417
2020-12-23,5.428,3.803,9.459,10.417
2020-12-24,5.428,3.803,9.459,10.417
2020-12-25,5.428,3.803,9.459,10.417
2020-12-26,5.428,3.803,9.459,10.417
2020-12-27,5.428,3.803,9.459,10.417
2020-12-28,5.428,3.803,9.459,10.417
2020-12-29,5.428,3.803,9.459,10.417
2020-12-30,5.428,3.803,9.459,10.417
2020-12-31,5.428,3.803,9.459,10.417
2021-01-01,4.285,3.637,9.297,-8.518
2021-01-02,4.285,3.637,9.297,-8.518
2021-01-03,4.285,3.637,9.297,-8.518
2021-01-04,4.285,3.637,9.297,-8.518
2021-01-05,4.285,3.637,9.297,-8.518
2021-01-06,4.285,3.637,9.297,-8.518
2021-01-07,4.285,3.637,9.297,-8.518
2021-01-08,4.285,3.637,9.297,-8.518
2021-01-09,4.285,3.637,9.297,-8.518
2021-01-10,4.285,3.637,9.297,-8.518
2021-01-11,4.285,3.637,9.297,-8.518
2021-01-12,4.285,3.637,9.297,-8.518
2021-01-13,4.285,3.637,9.297,-8.518
2021-01-14,4.285,3.637,9.297,-8.518
2021-01-15,4.285,3.637,9.297,-8.518
2021-01-16,4.285,3.637,9.297,-8.518
2021-01-17,4.285,3.637,9.297,-8.518
2021-01-18,4.285,3.637,9.297,-8.518
2021-01-19,4.285,3.637,9.297,-8.518
2021-01-20,4.285,3.637,9.297,-8.518
2021-01-21,4.285,3.637,9.297,-8.518
2021-01-22,4.285,3.637,9.297,-8.518
2021-01-23,4.285,3.637,9.297,-8.518
2021-01-24,4.285,3.637,9.297,-8.518
2021-01-25,4.285,3.637,9.297,-8.518
2021-01-26,4.285,3.637,9.297,-8.518
2021-01-27,4.285,3.637,9.297,-8.518
2021-01-28,4.285,3.637,9.297,-8.518
2021-01-29,4.285,3.637,9.297,-8.518
2021-01-30,4.285,3.637,9.297,-8.518
2021-01-31,4.285,3.637,9.297,-8.518
2021-02-01,4.455,3.645,9.729,-7.647
2021-02-02,4.455,3.645,9.729,-7.647
2021-02-03,4.455,3.645,9.729,-7.647
2021-02-04,4.455,3.645,9.729,-7.647
2021-02-05,4.455,3.645,9.729,-7.647
2021-02-06,4.455,3.645,9.729,-7.647
2021-02-07,4.455,3.645,9.729,-7.647
2021-02-08,4.455,3.645,9.729,-7.647
2021-02-09,4.455,3.645,9.729,-7.647
2021-02-10,4.455,3.645,9.729,-7.647
2021-02-11,4.455,3.645,9.729,-7.647
2021-02-12,4.455,3.645,9.729,-7.647
2021-02-13,4.455,3.645,9.729,-7.647
2021-02-14,4.455,3.645,9.729,-7.647
2021-02-15,4.455,3.645,9.729,-7.647
2021-02-16,4.455,3.645,9.729,-7.647
2021-02-17,4.455,3.645,9.729,-7.647
2021-02-18,4.455,3.645,9.729,-7.647
2021-02-19,4.455,3.645,9.729,-7.647
2021-02-20,4.455,3.645,9.729,-7.647
2021-02-21,4.455,3.645,9.729,-7.647
2021-02-22,4.455,3.645,9.729,-7.647
2021-02-23,4.455,3.645,9.729,-7.647
2021-02-24,4.455,3.645,9.729,-7.647
2021-02-25,4.455,3.645,9.729,-7.647
2021-02-26,4.455,3.645,9.729,-7.647
2021-02-27,4.455,3.645,9.729,-7.647
2021-02-28,4.455,3.645,9.729,-7.647
2021-03-01,4.476,3.672,8.337,-1.516
2021-03-02,4.476,3.672,8.337,-1.516
2021-03-03,4.476,3.672,8.337,-1.516
2021-03-04,4.476,3.672,8.337,-1.516
2021-03-05,4.476,3.672,8.337,-1.516
2021-03-06,4.476,3.672,8.337,-1.516
2021-03-07,4.476,3.672,8.337,-1.516
2021-03-08,4.476,3.672,8.337,-1.516
2021-03-09,4.476,3.672,8.337,-1.516
2021-03-10,4.476,3.672,8.337,-1.516
2021-03-11,4.476,3.672,8.337,-1.516
2021-03-12,4.476,3.672,8.337,-1.516
2021-03-13,4.476,3.672,8.337,-1.516
2021-03-14,4.476,3.672,8.337,-1.516
2021-03-15,4.476,3.672,8.337,-1.516
2021-03-16,4.476,3.672,8.337,-1.516
2021-03-17,4.476,3.672,8.337,-1.516
2021-03-18,4.476,3.672,8.337,-1.516
2021-03-19,4.476,3.672,8.337,-1.516
2021-03-20,4.476,3.672,8.337,-1.516
2021-03-21,4.476,3.672,8.337,-1.516
2021-03-22,4.476,3.672,8.337,-1.516
2021-03-23,4.476,3.672,8.337,-1.516
2021-03-24,4.476,3.672,8.337,-1.516
2021-03-25,4.476,3.672,8.337,-1.516
2021-03-26,4.476,3.672,8.337,-1.516
2021-03-27,4.476,3.672,8.337,-1.516
2021-03-28,4.476,3.672,8.337,-1.516
2021-03-29,4.476,3.672,8.337,-1.516
2021-03-30,4.476,3.672,8.337,-1.516
2021-03-31,4.476,3.672,8.337,-1.516
2021-04-01,4.101,3.331,8.854,-5.32
2021-04-02,4.101,3.331,8.854,-5.32
2021-04-03,4.101,3.331,8.854,-5.32
2021-04-04,4.101,3.331,8.854,-5.32
2021-04-05,4.101,3.331,8.854,-5.32
2021-04-06,4.101,3.331,8.854,-5.32
2021-04-07,4.101,3.331,8.854,-5.32
2021-04-08,4.101,3.331,8.854,-5.32
2021-04-09,4.101,3.331,8.854,-5.32
2021-04-10,4.101,3.331,8.854,-5.32
2021-04-11,4.101,3.331,8.854,-5.32
2021-04-12,4.101,3.331,8.854,-5.32
2021-04-13,4.101,3.331,8.854,-5.32
2021-04-14,4.101,3.331,8.854,-5.32
2021-04-15,4.101,3.331,8.854,-5.32
2021-04-16,4.101,3.331,8.854,-5.32
2021-04-17,4.101,3.331,8.854,-5.32
2021-04-18,4.101,3.331,8.854,-5.32
2021-04-19,4.101,3.331,8.854,-5.32
2021-04-20,4.101,3.331,8.854,-5.32
2021-04-21,4.101,3.331,8.854,-5.32
2021-04-22,4.101,3.331,8.854,-5.32
2021-04-23,4.101,3.331,8.854,-5.32
2021-04-24,4.101,3.331,8.854,-5.32
2021-04-25,4.101,3.331,8.854,-5.32
2021-04-26,4.101,3.331,8.854,-5.32
2021-04-27,4.101,3.331,8.854,-5.32
2021-04-28,4.101,3.331,8.854,-5.32
2021-04-29,4.101,3.331,8.854,-5.32
2021-04-30,4.101,3.331,8.854,-5.32
2021-05-01,4.829,3.413,8.88,6.931
2021-05-02,4.829,3.413,8.88,6.931
2021-05-03,4.829,3.413,8.88,6.931
2021-05-04,4.829,3.413,8.88,6.931
2021-05-05,4.829,3.413,8.88,6.931
2021-05-06,4.829,3.413,8.88,6.931
2021-05-07,4.829,3.413,8.88,6.931
2021-05-08,4.829,3.413,8.88,6.931
2021-05-09,4.829,3.413,8.88,6.931
2021-05-10,4.829,3.413,8.88,6.931
2021-05-11,4.829,3.413,8.88,6.931
2021-05-12,4.829,3.413,8.88,6.931
2021-05-13,4.829,3.413,8.88,6.931
2021-05-14,4.829,3.413,8.88,6.931
2021-05-15,4.829,3.413,8.88,6.931
2021-05-16,4.829,3.413,8.88,6.931
2021-05-17,4.829,3.413,8.88,6.931
2021-05-18,4.829,3.413,8.88,6.931
2021-05-19,4.829,3.413,8.88,6.931
2021-05-20,4.829,3.413,8.88,6.931
2021-05-21,4.829,3.413,8.88,6.931
2021-05-22,4.829,3.413,8.88,6.931
2021-05-23,4.829,3.413,8.88,6.931
2021-05-24,4.829,3.413,8.88,6.931
2021-05-25,4.829,3.413,8.88,6.931
2021-05-26,4.829,3.413,8.88,6.931
2021-05-27,4.829,3.413,8.88,6.931
2021-05-28,4.829,3.413,8.88,6.931
2021-05-29,4.829,3.413,8.88,6.931
2021-05-30,4.829,3.413,8.88,6.931
2021-05-31,4.829,3.413,8.88,6.931
2021-06-01,4.93,3.849,9.507,0.098
2021-06-02,4.93,3.849,9.507,0.098
2021-06-03,4.93,3.849,9.507,0.098
2021-06-04,4.93,3.849,9.507,0.098
2021-06-05,4.93,3.849,9.507,0.098
2021-06-06,4.93,3.849,9.507,0.098
2021-06-07,4.93,3.849,9.507,0.098
2021-06-08,4.93,3.849,9.507,0.098
2021-06-09,4.93,3.849,9.507,0.098
2021-06-10,4.93,3.849,9.507,0.098
2021-06-11,4.93,3.849,9.507,0.098
2021-06-12,4.93,3.849,9.507,0.098
2021-06-13,4.93,3.849,9.507,0.098
2021-06-14,4.93,3.849,9.507,0.098
2021-06-15,4.93,3.849,9.507,0.098
2021-06-16,4.93,3.849,9.507,0.098
2021-06-17,4.93,3.849,9.507,0.098
2021-06-18,4.93,3.849,9.507,0.098
2021-06-19,4.93,3.849,9.507,0.098
2021-06-20,4.93,3.849,9.507,0.098
2021-06-21,4.93,3.849,9.507,0.098
2021-06-22,4.93,3.849,9.507,0.098
2021-06-23,4.93,3.849,9.507,0.098
2021-06-24,4.93,3.849,9.507,0.098
2021-06-25,4.93,3.849,9.507,0.098
2021-06-26,4.93,3.849,9.507,0.098
2021-06-27,4.93,3.849,9.507,0.098
2021-06-28,4.93,3.849,9.507,0.098
2021-06-29,4.93,3.849,9.507,0.098
2021-06-30,4.93,3.849,9.507,0.098
2021-07-01,5.446,4.567,9.219,0.774
2021-07-02,5.446,4.567,9.219,0.774
2021-07-03,5.446,4.567,9.219,0.774
2021-07-04,5.446,4.567,9.219,0.774
2021-07-05,5.446,4.567,9.219,0.774
2021-07-06,5.446,4.567,9.219,0.774
2021-07-07,5.446,4.567,9.219,0.774
2021-07-08,5.446,4.567,9.219,0.774
2021-07-09,5.446,4.567,9.219,0.774
2021-07-10,5.446,4.567,9.219,0.774
2021-07-11,5.446,4.567,9.219,0.774
2021-07-12,5.446,4.567,9.219,0.774
2021-07-13,5.446,4.567,9.219,0.774
2021-07-14,5.446,4.567,9.219,0.774
2021-07-15,5.446,4.567,9.219,0.774
2021-07-16,5.446,4.567,9.219,0.774
2021-07-17,5.446,4.567,9.219,0.774
2021-07-18,5.446,4.567,9.219,0.774
2021-07-19,5.446,4.567,9.219,0.774
2021-07-20,5.446,4.567,9.219,0.774
2021-07-21,5.446,4.567,9.219,0.774
2021-07-22,5.446,4.567,9.219,0.774
2021-07-23,5.446,4.567,9.219,0.774
2021-07-24,5.446,4.567,9.219,0.774
2021-07-25,5.446,4.567,9.219,0.774
2021-07-26,5.446,4.567,9.219,0.774
2021-07-27,5.446,4.567,9.219,0.774
2021-07-28,5.446,4.567,9.219,0.774
2021-07-29,5.446,4.567,9.219,0.774
2021-07-30,5.446,4.567,9.219,0.774
2021-07-31,5.446,4.567,9.219,0.774
2021-08-01,5.682,4.526,8.55,8.733
2021-08-02,5.682,4.526,8.55,8.733
2021-08-03,5.682,4.526,8.55,8.733
2021-08-04,5.682,4.526,8.55,8.733
2021-08-05,5.682,4.526,8.55,8.733
2021-08-06,5.682,4.526,8.55,8.733
2021-08-07,5.682,4.526,8.55,8.733
2021-08-08,5.682,4.526,8.55,8.733
2021-08-09,5.682,4.526,8.55,8.733
2021-08-10,5.682,4.526,8.55,8.733
2021-08-11,5.682,4.526,8.55,8.733
2021-08-12,5.682,4.526,8.55,8.733
2021-08-13,5.682,4.526,8.55,8.733
